Activity and Indicators - NEPAL,,,,,,,
,,,,"Define indicators for Service delivery and infrastructure repair/rehabilitation if applicable for the activity.

No need to define indicator for number of people reached or amount of cash distributed - This will be required to report for all relevant interventions.",,,
Cluster,Subsector/AOR,Activity,Sub-Activity - if applicable,Activity Indicator - repair/rehabilitation/construction of Infrastructure/Service Delivery points,Number of people targeted,Strategic objective,Notes
Education,,Support children to ensure their uninterrupted access to education and learning through cash and in-kind modalities,,,,,
Education,,Distribution of Early Childhood Development (ECD) kits,,,,,
Education,,Distribution of learning packs,,,,,
Education,,Distribution of textbooks,,,,,
Education,,Repair and rehabilitation of school buildings,,Number of school buildings repaired or rehabilitated,,,
Education,,Support to Temporary Learning Centers (Type -1) and Transitional learning centers (Type-2),,Number of child-friendly learning space and Temporary Learning Centers supported,,,
Education,,Support for teacher training on psychosocial support and learning recovery,,,,,
Education,,"Capacity strengthening of ECD facilitators, teachers to support learning (multi-grade, multi-level learning)",,,,,
Education,,Installation/maintenance of WASH facility in school,,Number of schools supported with installation/maintenance of WASH facilities,,,
Education,,Provision of hygiene and sanitation materials to the schools and learning centres ,,,,,
Education,,Provide targeted MHPSS in schools for students (children/adolescent),,,,,
Education,,Awareness: Support teacher orientation on safe school operations including repair and maintenance of WASH facilities in schools through cluster partners where they are functional and present,,,,,
Education,,Other,,,,,
,,,,,,,
Food Security,,Distribution of in-kind Food Relief Packages,,Number of food relief packages distributed,,,
Food Security,,Cash or Voucher based food assistance,,,,,
Food Security,,Provision of ready to eat or cooked meals to affected people,,,,,
Food Security,,Monitoring/Survey/Assessment,,,,,
Food Security,,"Distribution of agriculture tools, equipments",,Number of agriculture tools and equipments distributed,,,
Food Security,,Distribution of seeds,,Amounts of seeds distributed,,,
Food Security,,Distribution of livestock feeds,,,,,
Food Security,,Cash for Work (CFW) assistance to affected households,,,,,
Food Security,,Agriculture recovery: cash for assets/training,,,,,
Food Security,,Provision of income generation activity/livelihood support to the affected families,,Number of small livestock supported,,,
Food Security,,"Agro-tools for safe storage of food grains, crop harvest and seed",,,,,
Food Security,,Veterinary treatment and management of injured livestock,,,,,
Food Security,,Carcass management,,,,,
,,,,,,,
Health,,Deployment of Mobile Medical Team/Rapid Response Team with emergency drugs and equipment to the affected areas,,,,,
Health,,Capacity development of the midwives/ nurses and doctors on CMR,,,,,
Health,,Establish Temporary/Makeshift hospital or health facility,,,,,
Health,,"Provision of essential medicines, supplies and devices",,,,,
Health,,Distribution of elderly kits to vulnerable old people,,,,,
Health,,Infection prevention and control (IPC) training to healthcare workers,,,,,
Health,,"Deployment of midwives in health facilities and ensure uninterrupted SRHR services including ANC, delivery, PNC and PPFP services",,,,,
Health - SRH,Sexual and Reproductive Health,Provide psychosocial support to service providers ensuring caring for carers,,,,,
Health - SRH,Sexual and Reproductive Health,"Provision of essential and life-saving sexual and reproductive health medications, commodities and supplies for women of reproductive age group and adolescents",,,,,
Health - SRH,Sexual and Reproductive Health,Delivery of SRH outreach program including mobile clinics to provide life-saving interventions on SRH and MCH services and improve the referral mechanism,,,,,
Health - SRH,Sexual and Reproductive Health,"Integrate psychosocial support services into the SRH service package for women and girls, adolescents and other vulnerable/special population",,,,,
Health - SRH,Sexual and Reproductive Health,Deployment of Female Community Health Volunteers (FCHVs) and Red Cross volunteers to promote SRH and GBV services,,,,,
,,,,,,,
Nutrition,,"Sensitize/orient health workers, FCHVs and mother groups on IPC measures, breastfeeding and complementary feeding through passive platforms",,,,,
Nutrition,,Support Infant and Young Child Feeding (IYCF) in emergencies (breastfeeding corners and tents in mass displacement shelters),,,,,
Nutrition,,Screening of 6-59 months children and pregnant and lactating women,,,,,
Nutrition,,"Promote, protect and support for early initiation, exclusive breast feeding targeting to all 0-6 months children",,,,,
Nutrition,,Support for age appropriate complementary feeding targeting to 6-23 months children with continuation of breastfeeding,,,,,
Nutrition,,Provide micronutrient supplements to children between 6-23 months,,,,,
Nutrition,,Provide micronutrient supplements for pregnant and lactating women,,,,,
Nutrition,,Treatment of Severe Acute Malnutrition of children 6-59 months,,,,,
Nutrition,,Cash and voucher support to pregnant and lactating women,,,,,
Nutrition,,In-kind support to pregnant and lactating women,,,,,
Nutrition,,Nutrition education along food security interventions,,,,,
Nutrition,,Key message development and dissemination through print and digital media,,,,,
Nutrition,,Distribution of IEC/ BCC material at health facility and public institution,,,,,
Nutrition,,Conduct counseling through telephone and home visit by front line workers,,,,,
Nutrition,,Other,,,,,
,,,,,,,
Protection - GBV,,Gender Based Violence (GBV) : Orientation/training to GBV service providers,,,,,
Protection - GBV,,Gender Based Violence (GBV) : Provision of GBV response services including referral to other services,,,,,
Protection - GBV,,"Gender Based Violence (GBV) : Messaging on GBV including domestic violence, care burden and economic burden",,,,,
Protection - GBV,,Gender Based Violence (GBV) : Sensitization/orientation on GBV prevention and response interventions,,,,,
Protection - GBV,,Gender Based Violence (GBV) : Distribution of essential life saving supplies to women and girls (including dignity kits),,,,,
Protection - GBV,,"Gender Based Violence (GBV) : Messaging on harmful practices including GBV, domestic violence, care burden, child marriage, etc.",,,,,
Protection - GBV,,Gender Based Violence (GBV) : Establishment of women friendly spaces,,Number of women friendly space established,,,
Protection - Child Protection,,Child Protection : Orientation/training to frontline child protection and health service providers,,,,,
Protection - Child Protection,,"Child Protection : Support to unaccompanied, separated and other vulnerable children affected by disaster",,,,,
Protection - Child Protection,,"Child Protection : Referral of children with protection concerns to other services (health, security, justice etc.)",,,,,
Protection - Child Protection,,Child Protection : Distributing baby packs for the health and safety of infants,,,,,
Protection - Child Protection,,Child Protection : Distribution of recreational kits,,,,,
Protection - Child Protection,,Child Protection : Establishment of child friendly spaces,,Number of child friendly space established,,,
Protection - Child Protection,,Child Protection : Messaging on child protection through different media,,,,,
,,,,,,,
Protection - MHPSS,,"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",,,,,
Protection - MHPSS,,Mental Health and Psychosocial Support (MHPSS) : Community sensitization on psychosocial well-being and link to services,,,,,
Protection - MHPSS,,Mental Health and Psychosocial Support (MHPSS) : Capacity building of frontline service providers and community psychosocial workers,,,,,
Protection - MHPSS,,Mental Health and Psychosocial Support (MHPSS) : PSA messaging on MHPSS,,,,,
,,,,,,,
CCCM,,"Site Management, Coordination and Monitoring : Site management support / daily site presence",,# of site management agency or focal point with site presenceCCCM,,,
CCCM,,"Site Management, Coordination and Monitoring : HH profiling, registration and population monitoring",,# of HH profiling exercise undertaken,,,
CCCM,,"Site Management, Coordination and Monitoring : Coordination meeting held with service provider",,# of service Provider Coordination Meetings held,,,
CCCM,,"Site Management, Coordination and Monitoring : Establishment of site management committee",,# site management committee established,,,
CCCM,,"Site Management, Coordination and Monitoring : Facilitation of site-level coordination meetings",,# of site level coordination meetings held,,,
CCCM,,"Site Management, Coordination and Monitoring : Facilitation of site-level coordination meetings",,# of monitoring monitoring visits,,,
CCCM,,"Site Management, Coordination and Monitoring : Site-level service monitoring and gap identification",,# of monitoring reports produced,,,
CCCM,,"Site Management, Coordination and Monitoring : Site level service mapping and gap identification",,# of updated service maps,,,
CCCM,,Community Engagement and Accountability (CE/AAP) : Community consultations /FGDs,,# of consultations/FGDs organized,,,
