activity,adm3_pcode,ward,individuals_sum,individuals_max,population,affected,sum_pc_population,max_pc_population
Child Protection : Distributing baby packs for the health and safety of infants,NP0328301,2,212,78,5303,1,0.03997737129926457,0.014708655478031303
Child Protection : Distributing baby packs for the health and safety of infants,NP0328301,4,71,71,7076,1,0.01003391746749576,0.01003391746749576
Child Protection : Distribution of recreational kits,NP0328301,1,20,20,2951,1,0.006777363605557438,0.006777363605557438
Child Protection : Distribution of recreational kits,NP0328301,2,161,45,5303,1,0.03036017348670564,0.00848576277578729
Child Protection : Distribution of recreational kits,NP0328301,6,42,42,3996,1,0.010510510510510511,0.010510510510510511
Child Protection : Distribution of recreational kits,NP0328301,9,20,20,7591,1,0.0026346989856408905,0.0026346989856408905
Child Protection : Distribution of recreational kits,NP0328301,12,20,20,3603,1,0.005550929780738274,0.005550929780738274
Child Protection : Distribution of recreational kits,NP0328302,7,33,33,4530,1,0.00728476821192053,0.00728476821192053
Child Protection : Distribution of recreational kits,NP0328403,2,0,0,2020,1,0,0
Child Protection : Distribution of recreational kits,NP0330407,2,287,287,3589,NA,0.07996656450264698,0.07996656450264698
Child Protection : Distribution of recreational kits,NP0330407,7,791,415,3731,1,0.21200750469043153,0.1112302331814527
Child Protection : Distribution of recreational kits,NP0330409,2,80,80,4076,1,0.019627085377821395,0.019627085377821395
Child Protection : Distribution of winterization Kits to children,NP0328301,2,25,25,5303,1,0.004714312653215161,0.004714312653215161
Child Protection : Distribution of winterization Kits to children,NP0328301,3,0,0,4860,1,0,0
Child Protection : Distribution of winterization Kits to children,NP0329402,6,0,0,3099,1,0,0
Child Protection : Distribution of winterization Kits to children,NP0329403,5,0,0,2836,1,0,0
Child Protection : Distribution of winterization Kits to children,NP0329404,3,0,0,1665,NA,0,0
Child Protection : Establishment of child friendly spaces,NP0328301,1,71,71,2951,1,0.024059640799728905,0.024059640799728905
Child Protection : Establishment of child friendly spaces,NP0328301,2,275,96,5303,1,0.051857439185366776,0.01810296058834622
Child Protection : Establishment of child friendly spaces,NP0328301,3,40,40,4860,1,0.00823045267489712,0.00823045267489712
Child Protection : Establishment of child friendly spaces,NP0328301,4,97,57,7076,1,0.013708309779536462,0.008055398530243075
Child Protection : Establishment of child friendly spaces,NP0328301,5,243,105,6280,1,0.038694267515923565,0.016719745222929936
