district,municipality,adm3_pcode,projection_2026_population_total
Chitawan,Ichchha Kamana,NP0335401,22279
Dhading,Benighat Rorang,NP0330408,32595
Dhading,Gajuri,NP0330409,27716
Dhading,Galchhi,NP0330410,22322
Dhading,Siddhalek,NP0330407,20066
Gorkha,Gandaki,NP0436409,18956
Gorkha,Shahid Lakhan,NP0436408,20189
Nuwakot,Belkotgadhi,NP0328302,34901
Nuwakot,Bidur,NP0328301,60308
Nuwakot,Kispang,NP0328402,13000
Nuwakot,Tarakeshwor,NP0328403,13031
Rasuwa,Aamachhodingmo,NP0329401,6429
Rasuwa,Gosaikunda,NP0329402,7923
Rasuwa,Kalika,NP0329404,9784
Rasuwa,Uttargaya,NP0329403,8300
Tanahu,Aanbu Khaireni,NP0440405,21034
Tanahu,Devghat,NP0440406,13711
