province,district,municipality,sector,relief_items,relief_item_unit,number_of_relief_items_planned,number_of_relief_items_distributed,households_targeted,people_targeted,households_reached,total_people_reached,agencies
Bagmati,Bidur,Bidur,NA,NA,KG,0,0,0,0,0,0,NA
Bagmati,Chitawan,NA,WASH,NA,NA,0,0,0,0,0,0,DWSSM
Bagmati,Dhading,Benighat Rorang,CCCM,NA,NA,0,0,0,0,0,0,"CBM, NFDN"
Bagmati,Dhading,Benighat Rorang,Education,ECD Kits,Number,3,3,0,0,0,37,UNICEF
Bagmati,Dhading,Benighat Rorang,Education,Learning Packs,Number,160,160,0,0,0,307,UNICEF
Bagmati,Dhading,Benighat Rorang,Education,TLC,Number,8,8,0,0,0,172,UNICEF
Bagmati,Dhading,Benighat Rorang,Education,NA,Number,0,0,0,0,0,0,CFJNO
Bagmati,Dhading,Benighat Rorang,Education,NA,NA,0,0,0,0,0,259,"UNESCO, SCI, UNICEF"
Bagmati,Dhading,Benighat Rorang,Health,Medical supplies,Number,0,1590,0,0,0,0,IOM
Bagmati,Dhading,Benighat Rorang,Health,NA,NA,0,0,0,0,0,0,"CBM, HRDC"
Bagmati,Dhading,Benighat Rorang,Logistics,NA,NA,0,0,0,0,0,0,WFP
Bagmati,Dhading,Benighat Rorang,Multi-purpose Cash,NA,NA,0,0,150,605,0,0,"UNICEF, LG"
Bagmati,Dhading,Benighat Rorang,Protection - MHPSS,NA,NA,0,0,27,118,27,167,"CBM, KOSHISH, UNICEF, CMC"
Bagmati,Dhading,Benighat Rorang,Shelter,Blankets synthetic high therm resistance,Number,1000,1000,1000,5000,1000,5000,UNICEF
Bagmati,Dhading,Benighat Rorang,Shelter,Shelter Kit,Number,10,10,10,50,10,44,DCA
Bagmati,Dhading,Benighat Rorang,Shelter,NA,NA,0,0,0,0,0,0,"CBM, KOSHISH"
Bagmati,Dhading,Benighat Rorang,WASH,"PIYUSH LIQUID, 60 ML bottle",Number,150,150,150,150,150,150,UNICEF
Bagmati,Dhading,Benighat Rorang,WASH,"WASH & Dignity Kit, first response, 1 HH, no Purif Tab",Number,200,200,200,1000,200,1000,UNICEF
Bagmati,Dhading,Gajuri,CCCM,NA,NA,0,0,0,0,0,0,"CBM, NFDN, IOM"
Bagmati,Dhading,Gajuri,Education,Learning Packs,Kits,0,471,0,70,114,471,SCI
Bagmati,Dhading,Gajuri,Education,Learning Packs,NA,0,0,0,0,0,0,Chhori
