province,district,municipality,ward,activity,individuals_reached,n
Bagmati,Dhading,Galchhi,NA,"Water storage supplies like HH buckets, tanks",500,3
Bagmati,Dhading,Galchhi,4,"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",14,2
Bagmati,Dhading,Galchhi,6,"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",7,2
Bagmati,Dhading,Galchhi,6,Provide targeted MHPSS in schools for students (children/adolescent),17,2
Bagmati,Dhading,Galchhi,NA,Depolyment of Psychiatrist and Pyschologist,14,2
Bagmati,Nuwakot,Belkotgadhi,7,"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",30,2
Bagmati,Nuwakot,Bidur,2,Depolyment of Psychiatrist and Pyschologist,1,2
Bagmati,Nuwakot,Bidur,9,"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",14,2
Bagmati,Nuwakot,Bidur,NA,Depolyment of Psychiatrist and Pyschologist,12,2
Bagmati,Nuwakot,Bidur,NA,Depolyment of Psychiatrist and Pyschologist,83,2
Bagmati,Nuwakot,Bidur,NA,Distribution of critical WASH supplies (including hygiene kits) to affected households,2000,2
Bagmati,Nuwakot,Bidur,NA,"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",97,2
Bagmati,Nuwakot,Bidur,NA,"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",192,2
Bagmati,Nuwakot,Tarakeshwor,4,Child Protection : Establishment of child friendly spaces,46,2
Bagmati,Rasuwa,Gosaikunda,NA,Distribution of critical WASH supplies (including hygiene kits) to affected households,300,2
Bagmati,Rasuwa,Gosaikunda,NA,Distribution of critical WASH supplies (including hygiene kits) to affected households,500,2
Bagmati,Rasuwa,Gosaikunda,NA,"Water storage supplies like HH buckets, tanks",100,2
Bagmati,Rasuwa,Uttargaya,2,"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",2,2
Bagmati,Rasuwa,Uttargaya,5,Depolyment of Psychiatrist and Pyschologist,2,2
Bagmati,Rasuwa,Uttargaya,5,"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",34,2
Bagmati,Rasuwa,Uttargaya,NA,Depolyment of Psychiatrist and Pyschologist,5,2
