adm3_pcode,ward,individuals_sum,individuals_max,population,affected,sum_pc_population,max_pc_population
NP0327101,2,700,100,11542,NA,0.060648067925836074,0.008664009703690868
NP0327101,4,336,12,43311,NA,0.0077578444275126415,2.770658724111658e-4
NP0327101,12,44,44,10956,NA,0.004016064257028112,0.004016064257028112
NP0327101,15,670,314,52668,NA,0.012721196931723248,0.005961874382927015
NP0328301,1,13041.3,1315,2951,1,4.41928159945781,0.44561165706540157
NP0328301,2,24835,5000,5303,1,4.683198189703941,0.9428625306430323
NP0328301,3,5319,507,4860,1,1.0944444444444446,0.10432098765432099
NP0328301,4,4636,1748,7076,1,0.6551724137931034,0.24703222159412097
NP0328301,5,8317,2010,6280,1,1.3243630573248408,0.3200636942675159
NP0328301,6,1685,1368,3996,1,0.4216716716716717,0.34234234234234234
NP0328301,7,6232,953,4032,1,1.5456349206349207,0.23635912698412698
NP0328301,8,3690,1132,3873,1,0.9527498063516654,0.29227988639297703
NP0328301,9,6261.25,2000,7591,1,0.8248254511922013,0.26346989856408903
NP0328301,10,1911,612,3433,1,0.55665598601806,0.17826973492572096
NP0328301,12,1000,480,3603,1,0.2775464890369137,0.13322231473771856
NP0328301,13,0,0,5083,NA,0,0
NP0328302,3,50,50,2943,NA,0.016989466530750934,0.016989466530750934
NP0328302,5,107,98,3160,1,0.033860759493670886,0.0310126582278481
NP0328302,7,4303,1665,4530,1,0.9498896247240618,0.3675496688741722
NP0328302,8,1534,313,2817,1,0.5445509407170749,0.1111111111111111
NP0328302,10,64,64,2821,NA,0.022686990428925913,0.022686990428925913
NP0328401,5,269,110,2172,NA,0.12384898710865562,0.05064456721915286
NP0328402,2,91,39,2750,NA,0.03309090909090909,0.014181818181818183
NP0328402,3,2970,2700,3105,NA,0.9565217391304348,0.8695652173913043
NP0328402,4,39,39,1739,NA,0.022426682001150087,0.022426682001150087
NP0328402,5,5257,1200,3095,1,1.698546042003231,0.3877221324717286
NP0328402,9,0,0,NA,NA,NA,NA
NP0328403,2,1535,676,2020,1,0.7599009900990099,0.3346534653465347
NP0328403,3,0,0,2553,NA,0,0
NP0328403,4,1875,732,2157,1,0.8692628650904033,0.33936022253129344
NP0328403,7,0,0,NA,NA,NA,NA
NP0328404,3,230,230,2531,NA,0.09087317265902806,0.09087317265902806
NP0328410,6,1011,391,2695,NA,0.375139146567718,0.1450834879406308
NP0329401,1,22,11,1455,1,0.015120274914089347,0.007560137457044674
NP0329401,3,4656,2328,1353,NA,3.4412416851441243,1.7206208425720622
NP0329401,5,2400,1200,1704,1,1.408450704225352,0.704225352112676
NP0329402,1,0,0,822,1,0,0
NP0329402,2,24,24,558,1,0.043010752688172046,0.043010752688172046
NP0329402,3,67,67,495,1,0.13535353535353536,0.13535353535353536
NP0329402,5,711,546,2518,1,0.2823669579030977,0.21683876092136617
NP0329402,6,642,420,3099,1,0.20716360116166505,0.1355275895450145
NP0329403,1,867,796,1165,1,0.744206008583691,0.6832618025751073
NP0329403,2,752,385,1233,1,0.6098945660989457,0.3122465531224655
NP0329403,3,0,0,1080,1,0,0
NP0329403,4,496,400,1986,1,0.2497482376636455,0.2014098690835851
NP0329403,5,9839,1200,2836,1,3.4693229901269396,0.4231311706629055
NP0329404,1,17,17,2493,1,0.00681909346169274,0.00681909346169274
NP0329404,2,577,415,2899,NA,0.19903414970679545,0.1431528113142463
NP0329404,3,295,230,1665,NA,0.17717717717717718,0.13813813813813813
NP0329404,4,34,17,1032,NA,0.03294573643410853,0.016472868217054265
NP0329404,5,23,11,1940,NA,0.011855670103092783,0.005670103092783505
NP0329404,6,3,3,NA,NA,NA,NA
NP0330407,2,287,287,3589,NA,0.07996656450264698,0.07996656450264698
NP0330407,3,0,0,2337,0,0,0
NP0330407,4,109,57,2401,0,0.045397750937109536,0.023740108288213244
NP0330407,6,0,0,2700,1,0,0
NP0330407,7,791,415,3731,1,0.21200750469043153,0.1112302331814527
NP0330408,3,0,0,4532,1,0,0
NP0330408,5,355,133,3049,1,0.1164316169235815,0.04362085929813053
NP0330408,7,473,127,2886,1,0.1638946638946639,0.044005544005544
NP0330408,9,109,45,3438,1,0.03170447934845841,0.013089005235602094
NP0330408,10,0,0,4652,1,0,0
NP0330409,1,0,0,5214,0,0,0
NP0330409,2,225,80,4076,1,0.055201177625122666,0.019627085377821395
NP0330409,3,24,17,2008,NA,0.01195219123505976,0.00846613545816733
NP0330409,5,1907,498,3788,1,0.5034318901795143,0.13146779303062303
NP0330409,6,884,181,4625,1,0.19113513513513514,0.039135135135135134
NP0330410,1,0,0,3372,1,0,0
NP0330410,2,3228,3199,2787,1,1.1582346609257266,1.1478292070326517
NP0330410,4,4234,2700,3222,1,1.314090626939789,0.8379888268156425
NP0330410,5,1761,882,2988,NA,0.5893574297188755,0.29518072289156627
NP0330410,6,2735,1368,2691,1,1.0163507989594947,0.5083612040133779
NP0330410,8,1236,437,2964,1,0.41700404858299595,0.14743589743589744
