adm3_pcode,ward,population_density,sex_ratio,average_household_size,total_dependency_ratio,population_pc_rural,disability_prevlance_rate,agricultural_employment_pc_total,wealth_quintile_poorest_quintile_pc,house_quality_inadequate_least_adequate_pc,unimproved_sanitation_pc,unimproved_drinking_water_pc,population_total,impacted_buildings,cluster
NP0329402,1,12.7806800185162,103.44827586206895,2.918727915194346,51.84,100,3.75,81.34,79.51,48.050000000000004,0.7067137809187279,51.590106007067135,822,117,C
NP0329402,2,3.51373852918496,114.00778210116732,3.374233128834356,26.15,100,1.45,8.01,3.07,1.84,1.2269938650306749,0.6134969325153374,558,571,A
NP0329402,3,9.37285126692812,99.2156862745098,3.0059171597633134,46.82,100,6.5,50.6,17.16,12.43,10.650887573964498,11.242603550295858,495,33,D
NP0329402,5,18.8742365411404,106.1718098415346,4.240137221269297,41.02,100,2.43,43.66,4.12,2.74,1.3722126929674099,7.890222984562607,2518,322,A
NP0329402,6,43.0259622112916,102.41935483870968,4.126027397260274,47.57,100,1.93,48.2,8.9,4.93,4.10958904109589,6.164383561643835,3099,0,A
NP0329401,1,83.941293114776,102.58152173913044,4.794212218649518,60.84,100,0.47,85.03,20.26,9,9.32475884244373,6.752411575562702,1455,10,C
NP0329401,2,80.8097565519678,113.01518438177874,4.091666666666667,66.72,100,5.4,77.02,20.83,2.5,4.583333333333333,0.8333333333333334,942,0,C
NP0329401,4,99.510060374965,105.71428571428572,3.6,57.66,100,1.39,70.61,21,2.33,2.666666666666667,21.333333333333336,1044,0,D
NP0329401,5,17.4326869154248,111.36363636363636,3.816414686825054,58.76,100,2.55,62.16,27,7.12,5.183585313174946,30.669546436285096,1704,47,C
NP0329403,1,15.1241196334682,98.5172981878089,4.112627986348123,63.72,100,1.49,80.84,70.65,14.33,32.76450511945392,9.897610921501707,1165,74,C
NP0329403,2,84.9353320871717,91.74174174174176,4.053968253968254,55.92,100,4.15,62.54,11.43,0.95,1.2698412698412698,11.746031746031745,1233,131,D
NP0329403,3,92.2053506773282,104.22018348623854,3.760135135135135,51.63,100,2.79,87.52,5.07,1.01,1.6891891891891893,4.054054054054054,1080,0,D
NP0329403,4,279.845494678836,99.02818270165209,3.886148007590133,47.66,100,2.93,68.83,3.04,1.14,1.7077798861480076,4.174573055028463,1986,45,D
NP0329403,5,669.112265871024,97.6917854718262,3.846763540290621,47.82,0,3.16,52.89,0.92,0.66,0.3963011889035667,4.359313077939234,2836,317,B
NP0329404,1,101.361338985253,100.70038910505836,4.200325732899023,61.39,100,2.06,72.56,34.2,0.16,0,0,2493,112,C
NP0330407,3,152.114381138844,95.717505634861,3.8196480938416424,56.36,100,2.03,83.87,32.7,6.6,0.43988269794721413,17.741935483870968,2337,0,D
NP0330407,4,151.760011516208,91.4450035945363,3.916176470588235,51.74,100,3.08,82.1,6.47,0.44,0.4411764705882353,1.6176470588235297,2401,0,D
NP0330407,6,158.913388051002,99.2656875834446,4.061224489795919,51.99,100,2.21,80.33,25.71,4.49,5.170068027210884,25.30612244897959,2700,118,D
NP0330407,7,268.537887990357,96.04007633587788,4.150505050505051,48.39,100,1.97,78.99,8.28,1.92,0.8080808080808081,14.84848484848485,3731,110,D
NP0330408,3,431.074471260937,109.88372093023256,3.947014297729184,51.29,100,2.26,36.61,7.65,2.1,3.532380151387721,14.634146341463413,4532,553,A
NP0330408,5,281.387204133172,99.81000633312225,4.118798955613577,46.47,100,0.89,55.35,5.61,1.04,1.3054830287206265,9.921671018276761,3049,30,A
NP0330408,7,313.044366446646,102.37771739130434,4.143254520166899,48.73,100,1.81,66.75,12.8,2.92,1.52990264255911,6.536856745479833,2886,224,A
NP0330408,8,103.668707575021,104.37342304457526,4.879518072289157,66.78,100,4.94,87.67,62.05,4.62,4.417670682730924,6.024096385542169,2322,3,C
NP0330408,9,187.290351764045,98.60801781737194,4.543949044585987,62.14,100,2.61,68.04,31.97,2.3,1.5286624203821657,6.624203821656051,3438,156,C
NP0330408,10,171.911633941455,101.7076218242399,4.75269872423945,59.83,100,2.6,73.08,44.36,5.3999999999999995,5.691854759568204,11.383709519136408,4652,71,C
NP0330409,1,552.337019592348,98.47129008202836,3.730203223545901,48.9,0,4.23,37.75,6.24,1.19,3.7140854940434482,6.377014716187807,5214,0,B
NP0330409,2,264.720339494581,102.93410293410294,4.0802707930367506,49.98,100,2.28,57.16,20.6,2.42,4.352030947775629,9.767891682785299,4076,95,A
NP0330409,5,220.731683900674,98.62385321100918,4.0806282722513085,49.2,100,2.28,65.72,13.19,2.51,1.5706806282722512,4.9214659685863875,3788,10,D
NP0330409,6,340.697020830213,99.6662494785148,4.246672582076309,55.24,100,1.67,63.66,16.77,5.41,5.767524401064774,14.81810115350488,4625,2,D
NP0330410,1,252.307420025663,90.3846153846154,4.054607508532423,53.82,100,2.02,80.03,18.54,7.62,3.6405005688282137,21.729237770193404,3372,26,D
